hotstar_id,title,description,genre,year,age_rating,running_time,seasons,episodes,type
1260055845,Women of Honour: Destination Army,The special feature follows two lady cadets through their journey at the Officer’s Training Academy where they undergo rigorous training to join the Indian Army.,Documentary,2021,U/A 7+,45,not present,not present,movie
1660010115,Pirates Of The Caribbean: The Curse Of The Black Pearl,"When Captain Barbossa kidnaps the Governer's daughter and her would-be suitor, Will Turner, coerces Captain Jack Sparrow into rescuing her.",Action,2003,U/A 13+,143,not present,not present,movie
1000105260,Manu Uncle,Manu accompanies a group of neighbourhood kids to an art museum where the sword of Marthanda Varma gets stolen. Thus begins the chase to catch the culprits.,Family,1988,U/A 13+,117,not present,not present,movie
1770000923,Speed,"Jack Traven, a fearless LAPD cop on SWAT detail, finds himself trapped on a runaway city bus set to explode if it falls under 50 mph.",Action,1994,U/A 16+,115,not present,not present,movie
1260022142,High School Musical: The Musical: The Series: The Special,"The special explores the impact of the original High School Musical movies. And, teaches a new song and dance numbers by the stars of the show!",Teen,2019,U/A 7+,23,not present,not present,movie
1000014546,Rajmata Jijau,"Based on Madan Patil's novel Jijausaheb, the movie portrays the story of Jijabai, a strong and intelligent woman who guided Shivaji Maharaj to power.",Drama,2011,U,147,not present,not present,movie
1260016478,The Parent Trap,"Hallie and Annie are separated after their parents' divorce. Years later, they meet at a summer camp and decide to switch places to reunite their parents.",Family,1998,U/A 7+,127,not present,not present,movie
1260027299,Hope Floats,"Birdee Calvert must choose between her morals and her heart after her husband divorces her, and a charming young man comes back into her life.",Romance,1998,U/A 13+,114,not present,not present,movie
1260027117,Doctor Dolittle,"An accident triggers Dr Dolittle's dormant powers of talking to animals. As his family and friends are concerned, he is busy tending to his new animal clients!",Comedy,1998,U/A 13+,85,not present,not present,movie
1836052654,Jackpot,Two London detectives stake out a criminal transaction. Who will crack the case?,Drama,2021,U/A 16+,11,not present,not present,movie
1000158755,Pingami,"Captain Vijay forms a bond with his uncle Kumaran. When Kumaran dies after an accident, Vijay learns a shocking truth and sets out to avenge his death.",Action,1994,U/A 13+,150,not present,not present,movie
1260027483,Stitch! The Movie,"Stitch, an alien living on Earth, discovers that his alien family is now in Hawaii, being hunted down by galactic forces.",Animation,2003,U,60,not present,not present,movie
1610006053,Ludo,"Two girls accidentally find out that in addition to the man they unknowingly share, they have a lot more in common, including a game of Ludo.",Drama,2018,A,9,not present,not present,movie
1000184606,Mamatheya Thotilalli,"When Raja's mother, Shanthamma, insists that his wife, Thara, abort her baby, she refuses and leaves the house. Raja then marries Radha.",Drama,1996,U/A 7+,110,not present,not present,movie
1000209133,Run,"Megha's father wants a son-in-law with a government job. As luck would have it, her boyfriend gets entangled in a police case, making it difficult to find one.",Romance,2011,U,145,not present,not present,movie
1000163112,Shivani,"While on duty of dropping Shivani to school, Vijay falls for her. However, when her parents find a match for her, Vijay's friends decide to help him.",Romance,2008,U/A 13+,146,not present,not present,movie
1000036249,Ayur Rekha,"A strict doctor, Aparna, whose divorce proceeding is underway, has made many enemies in her hospital. When she is found dead, there are many suspects.",Thriller,2005,U/A 7+,144,not present,not present,movie
1000107599,Bandhanam,"Unnikrishnan falls for his colleague Sarojini but fails to express his feelings to her. On returning from his village, he is shocked to learn about her.",Drama,1978,U,105,not present,not present,movie
1000044255,Akasha Gange,"Beena, a Christian, and Sonu, who is from an orthodox Hindu family, are college sweethearts. Can Beena bridge the religious divide and gain acceptance?",Romance,2008,U/A 13+,149,not present,not present,movie
1000068858,Mari,An orphaned teenager faces trials and tribulations at school and in society. How will she fight all of these and emerge victorious?,Drama,2015,U/A 13+,92,not present,not present,movie
1000160246,Seelabathi,"Seelabathi is a Malayalam drama starring Kavya Madhavan, Narain and Urmila Unni. What happens when the path of a caring doctor crosses that of a computer teacher's. Watch the full film, online only on Hotstar.",Drama,2005,U,97,not present,not present,movie
1000105292,Dr. Love,"Vinayachandran is diligently followed by college students and others for helping them resolve their love issues. However, what about his own love story?",Romance,2011,U,150,not present,not present,movie
1260106183,Bal Hanuman II,"As the devils and beasts wreak havoc on the earth, Bal Hanuman is equal to the task and takes over the challenges with valour.",Mythology,2010,U/A 7+,70,not present,not present,movie
1770002752,Swapner Din,"Swapner Din is a Bengali drama starring Prosenjit Chatterjee, Raima Sen and Rimi Sen, directed by Buddhadeb Dasgupta. Paresh hopes to educate and enlighten the people of rural Bengal. But there are hurdles along the way. Watch the full movie, Swapner Din, online, only on Hotstar.",Drama,2008,U,88,not present,not present,movie
1260105553,Spider-Man 3,"New York City is in the throes of Spider-mania! But when a strange alien symbiote turns Spider-Man's suit black, his darkest demons come to light.",Superhero,2007,U/A 13+,139,not present,not present,movie
1260063088,The Little Prince(ss),"When Chinese kids Gabriel and Rob become friends, Rob's dad questions Gabriel's feminine behavior.",Drama,2021,U/A 7+,18,not present,not present,movie
1610005324,ABC,A short film that showcases the dichotomy between two extreme yet simple individuals.,Drama,2015,U,16,not present,not present,movie
1610008314,Break The Taboo. Period,A film that aspires to start a dialogue and remove the taboo around Periods. It is not something that needs to be spoken about in hush hush tones or hidden in black plastic bags any more.,Drama,2020,U/A 13+,11,not present,not present,movie
1000074497,Yentavaadu Gaani,"An undercover cop's life turns upside down when his daughter is kidnapped during a vital mission. However, his traumatic past returns for one last showdown!",Thriller,2015,U/A 13+,149,not present,not present,movie
1000057141,Nene Ambani,"Bhaskaran fails his BA despite several attempts. He falls for Chandrika, who has a very different approach to life. Can he get his act together to impress her?",Comedy,2010,U/A 13+,152,not present,not present,movie
1000218684,Traffic,A traffic constable accepts the challenge of traversing 150 km by road to transport a donor's heart for an immediate transplant. Inspired by a true event.,Drama,2016,U,100,not present,not present,movie
1260008599,Disco Singh,"Lattu, a budding singer is in love with a model, Sweety. His lifelong dream of being her boyfriend finally comes true, but with a hilarious twist.",Comedy,2014,U,134,not present,not present,movie
1000109474,Madana,"Ambitious Madana brings his twin brother, Putta, to the city for his education. His dreams are shattered when Putta gets involved in an inescapable situation.",Drama,2006,U/A 13+,151,not present,not present,movie
1260027281,Disney's Tarzan & Jane,"To celebrate their anniversary, Jane searches for the perfect gift for Tarzan with the help of the hilarious Terk and Tantor.",Animation,2002,U,75,not present,not present,movie
1000233907,Run Baby Run,"Venu, works for Reuters as a cameraman. While on an assignment, he meets Renuka, his ex-lover and together, they have to investigate a murder mystery.",Action,2012,U/A 13+,124,not present,not present,movie
1260016850,Armageddon,"After discovering that a large asteroid is going to impact Earth in less than a month, NASA recruits a misfit team of deep-core drillers to save the planet.",Science Fiction,1998,U/A 13+,150,not present,not present,movie
1260023080,Descendants 3,"In this highly anticipated trequel, The VKs return to the Isle of the Lost to recruit a new batch of villainous offsprings to join them at Auradon Prep.",Teen,2019,U,106,not present,not present,movie
1000190811,A Gentleman,A tale of mistaken identities where identical-looking Gaurav and Rishi cross paths only to create confusion and chaos in their lives and of those around them.,Action,2017,U/A 13+,126,not present,not present,movie
1000067909,Kandahar,Major Mahadevan and his team of commandos put their lives at risk to save the hostages when an Indian aircraft gets hijacked by terrorists.,Action,2010,U/A 16+,135,not present,not present,movie
1260074851,The Last Duel,"A revenge saga of Jean de Carrouges and Jacques Le Gris, two friends & knights who must fight to the death after de Carrouges’s wife accuses Le Gris of assault.",Action,2021,A,152,not present,not present,movie
1000107678,In Harihar Nagar,"Four young men get smitten by Maya who moves into their neighbourhood. While romance is far from her mind, she has a mission on hand.",Comedy,1990,U/A 7+,128,not present,not present,movie
1000207868,Indrajit,"During a rape case investigation, an honest police officer learns about the criminal background of the MLA who recommended him for his job. Will he expose him?",Crime,1992,U,143,not present,not present,movie
1000229458,Mars: Inside SpaceX,The special provides an unprecedented glimpse into Space X'splan to get humanity to Mars.,Documentary,2019,U/A 7+,46,not present,not present,movie
1808052108,Weekend Affair,"Two strangers meet at a house party. Despite being married, there is an immediate attraction and they fall for each other. But, there is a twist.",Romance,2020,U/A 7+,7,not present,not present,movie
1260073523,Willow,"Meet the cast of the all-new Disney+ fantasy-adventure series ""Willow."" Coming to Disney+ in 2022.",Adventure,2021,U/A 7+,3,not present,not present,movie
1660000046,The Lion King,"Naive cub Simba is made to believe that he killed his father hence he flees into exile. After several years, he returns to claim his kingdom.",Kids,1994,U,83,not present,not present,movie
1000163543,No 20 Madras Mail,"No 20 Madras Mail is a Malayalam action comedy starring Mohanlal, Mammootty, Maniyanpilla Raju, Jagadeesh, Ashokan, MG Soman and directed by Joshiy. A group of passengers on a train encounter an intriguing situation. Watch the full movie, No 20 Madras Mail, online, only on Hotstar.",Comedy,1990,U/A 13+,170,not present,not present,movie
1770000775,X-Men United,Nightcrawler infiltrates the White House and attempts to assassinate the president. It is time for the X-Men to band together and track him down.,Superhero,2003,U/A 13+,133,not present,not present,movie
1000164170,Sadhane,"While blind Arundhathi's stepmom is against her education, her sisters support her. To achieve her dreams, she joins a school for the blind.",Drama,2012,U/A 7+,106,not present,not present,movie
1770016582,Hazaaron Khwaishein Aisi,"Set against the backdrop of the Emergency, three students are caught between turbulent political scenarios which complicate their relationships.",Drama,2005,A,110,not present,not present,movie
1000213911,VIP 2 Lalkar,"Civil engineer Raghuvaran is offered a job by Vasundhara, an egoistic businesswoman. When he turns down her offer, she vows to make his life miserable.",Drama,2017,U,106,not present,not present,movie
1260022881,Forky Asks A Question: What is Reading?,"The energetic Peas-n-a-Pod siblings teach Forky about reading and how it is done, with a little help from Mr. Spell.",Animation,2019,U,3,not present,not present,movie
1000234684,Jane Goodall - Saving Paradise Island,"Featuring Jane Goodall, the documentary shines the spotlight on practical marine conservation in islands off the Tanzania coast.",Animals & Nature,2018,U/A 7+,44,not present,not present,movie
1260049328,Safety,"The story of a freshman football player for Clemson University, who secretly raised his younger brother on campus after his home life became too unsteady.",Biopic,2020,U/A 7+,119,not present,not present,movie
1000109400,Finger Print,"A patriarch of a royal family, whose scion gets murdered, assigns the task of finding the culprit to his police officer nephews. Will he ever find the answer?",Thriller,2005,U/A 13+,112,not present,not present,movie
1260018157,Brave,"Merida, a strong-minded princess, must rely on her bravery and archery skills to undo a beastly curse that has brought chaos to her kingdom.",Animation,2012,U/A 7+,89,not present,not present,movie
1000082953,Bhale Bhale Magadivoy,"Lucky, an amnesiac scientist, falls in love with Nandana. Trouble begins when he fails to keep up with his amnesia and his aim to prove his worth to her father.",Romance,2015,U/A 13+,137,not present,not present,movie
1260021358,Togo,"In 1925, a champion dogsled trainer and his lead dog, Togo, journey across the rugged Alaskan tundra to transport an antitoxin serum to a small town.",Action,2019,U/A 7+,113,not present,not present,movie
1770002605,Mon Je Kore Uru Uru,Diya comes to visit her father in India. The members of Mone Je Kore Uru Uru club decide to kidnap her but end up abducting some other girl by the same name.,Romance,2010,U,135,not present,not present,movie
1000163546,Ponnum Kudathinu Pottu,"Ponnum Kudathinu Pottu is a Malayalam drama movie starring Nedumudi Venu, Shankar, Maniyanpilla Raju, Mukesh, Mala Aravindan and directed by T S Suresh Babu. Eraviraman Pillai is a greedy rich man. A young man named Gopan tells Pillai about a hidden treasure, setting him off on its hunt. Watch the full movie, Ponnum Kudathinu Pottu, online, only on Hotstar.",Comedy,1986,U/A 7+,124,not present,not present,movie
1660010691,Incredibles 2,"Mr. Incredible is left to care for the newborn while Missus out saving the world, but the going gets tough for the family with the arrival of a powerful villain.",Animation,2018,U/A 7+,119,not present,not present,movie
1000229599,MCA Middle Class Abbayi,"Young, middle-class boy Nani has to protect his sister-in-law, a transport official from a gangster, who runs an illegal transport business.",Action,2017,U/A 16+,112,not present,not present,movie
1000101691,Oridathoru Postman,"A young, helpful guy has to face the fury of the villagers for his postman father's laziness. But a chance meeting with a 'terrorist' changes his life.",Drama,2010,U/A 13+,123,not present,not present,movie
1000168433,Beru,"A poor old folk artiste's house is in danger because of a tree. However, government authorities refuse to cut it.",Drama,2005,U,115,not present,not present,movie
1260018360,"Six Days, Seven Nights",An aviator and a magazine editor from New York are stranded together on a deserted isle. Will this mismatched pair quickly discover all the perils of paradise?,Action,1998,U/A 13+,102,not present,not present,movie
1826032709,The List,"Witness the bittersweet story of Shruti, who's been sent to the market with instructions to write down the cost of her purchases. But do her efforts pay off?",Drama,2019,U,9,not present,not present,movie
1770019171,Maze Runner: The Death Cure,"Young hero Thomas embarks on a dangerous mission to find a cure for the deadly virus known as the Flare, which turns people into rampaging zombies.",Science Fiction,2018,U/A 13+,137,not present,not present,movie
1000055384,Uyyala Jampala,"Soori is in love with his cousin, Umadevi. However, she falls for Parthu, who persuades her to elope. Will Soori try to stop her or let her go?",Romance,2013,U/A 13+,109,not present,not present,movie
1770021480,A Deadly Secret: The Robert Bierer Story,"Robert Bierer explains the guilt and remorse he feels over the death of his friend, Dale King, as he recounts the events leading up to the tragedy.",Drama,1992,U/A 16+,29,not present,not present,movie
1000057153,Prayanam,"Dhruv meets and falls in love with Harika at the airport. However, she is heading to India to meet a prospective groom. How will he make her fall for him?",Romance,2009,U/A 13+,113,not present,not present,movie
1770004877,Notes From The Field,"Anna Deavere Smith brings to life the personal accounts of students, parents, teachers and administrators caught in America's school-to-prison pipeline.",Drama,2018,U/A 16+,86,not present,not present,movie
1260082282,Hero,"Arjun, an aspiring actor mistakenly receives a gun as a parcel, which leads him to cross paths with gangsters. Later, he attempts to unveil a mystery.",Comedy,2022,U/A 16+,133,not present,not present,movie
1000099459,Krishnagari Abbayi,"Separated at birth, identical twins Ramesh and Mahesh lead different lives. However, an important connection brings them together. What is it?",Action,1989,U/A 13+,131,not present,not present,movie
1100019047,Inkokkadu,"A suspended RAW agent lives in despair after losing his wife at the hands of a drug lord. Years later, he sets out to avenge her death.",Action,2016,U/A 16+,147,not present,not present,movie
1260073101,The Little Matchgirl,A poor matchgirl sees happy images in the flames of her matches.,Animation,2006,U/A 7+,6,not present,not present,movie
1000053538,Roy,"A casanova filmmaker feels lonely after a heartbreak. Meanwhile, a notorious art thief has a change of heart after falling in love. Are there any dots to join?",Romance,2015,U/A 13+,139,not present,not present,movie
1000115873,Prachandru,"Arjun, Vijay and Radha are orphans. When Radha goes missing, Arun and Vijay embark on a journey hoping to find her.",Drama,2008,U/A 16+,111,not present,not present,movie
1610015216,The Journey Of Azad,"Everything that glitters is not gold. The journey of Azad is an interesting narrative of the transition of Azad, portrayed through an interesting conversation.",Drama,2019,U/A 16+,29,not present,not present,movie
1620059837,U Turn,A Mother standing up for her daughter and addressing a very important and relevant issue that many women face in our society today.,Drama,2021,U/A 13+,5,not present,not present,movie
1770021416,Public Law 106: The Becky Bell Story,A true story of a 17-year-old Indiana girl who could not get a legal abortion without telling her parents or going before a judge.,Drama,1992,U/A 16+,29,not present,not present,movie
1000105758,Mutharamkunnu P.O.,"A postmaster comes to a small Kerala town and falls for a retired strongman's daughter. However, her dad wants to get her married to a successful wrestler.",Romance,1985,U/A 13+,137,not present,not present,movie
1000083489,Nandeesha,"A father finds his missing son in an orphanage after ten years. However, the boy has lost his memory, and the orphanage owner claims that he is his son.",Drama,2012,U/A 13+,145,not present,not present,movie
1000069150,Sakshi,A cop falls in love with a girl whose father wouldn't approve of a groom from a different caste. Their lives change when she attempts to end her life.,Drama,1983,U/A 13+,135,not present,not present,movie
1260100563,Beyond Infinity: Buzz and the Journey to Lightyear,Explore the evolution of Buzz Lightyear from toy to human in the making of Pixar’s Lightyear.,Documentary,2022,U,34,not present,not present,movie
1000238276,Mind of Giants,The special explores how elephants are gaining intelligence and self-awareness to fight for survival amidst challenging conditions.,Animals & Nature,2018,U/A 7+,44,not present,not present,movie
1260073527,Obi-Wan Kenobi,"A behind the scenes look at the ""Obi-Wan Kenobi"" special event series starring Ewan McGregor as the iconic Jedi Master. Coming to Disney+ in 2022.",Documentary,2021,U/A 13+,1,not present,not present,movie
1000100936,Gandhada Gombe,"Murali and Lakshmi meet in college and fall in love. However, circumstances force her to marry someone else, and her life takes a tragic turn.",Drama,2001,U/A 16+,135,not present,not present,movie
1000106296,Abhinayam,"Radha, a theatre artist, struggles to support her ailing mother. Her life takes a turn when she agrees to help Raghu, a widower, in exchange for money.",Family,1981,U/A 13+,118,not present,not present,movie
1660000015,Marvel's The Avengers,Nick Fury finds himself in need of a team to pull the world back from the brink of disaster by launching the Avengers initiative.,Superhero,2012,U/A 13+,142,not present,not present,movie
1000070094,Jai Bolo Telengana,A fight that was won after years of struggle. The film revolves around the Telangana Movement and events that led to the protests at Osmania University in 2009.,Drama,2011,U/A 13+,136,not present,not present,movie
1660010677,Avengers: Infinity War,"With the powerful Thanos on the verge of raining destruction upon the universe, the Avengers will have to risk everything to stop him.",Superhero,2018,U/A 13+,149,not present,not present,movie
1260023075,The Greatest Game Ever Played,"Francis Ouimet, an aspiring golfer, battles the class prejudice for a chance to participate against his idol legendary golfer Harry Verdon.",Biopic,2005,U/A 7+,120,not present,not present,movie
1000109499,Iniyum Kaanaam,"Iniyum Kaanaam is a Malayalam drama starring Prem Nazir, Alummoodan, Vincent and Thikkurissi Sukumaran Nair, directed by Charles Ayyampally. Ramadas is an unemployed youth, frustrated by the system. He decides to make money in illicit ways, but his friend Devan stands in the way. Watch the full movie, Iniyum Kaanaam, online, only on Hotstar.",Drama,1979,U/A 13+,124,not present,not present,movie
1260055225,Myth: A Frozen Tale,A family sits down for a bedtime story and is transported to a forest filled with elemental spirits.,Family,2021,U,9,not present,not present,movie
1770000299,Ice Age: Continental Drift,"Manny and Ellie are forced to deal with the tribulations of their teenage daughter Peaches and Sid's family returns, only to drop off the elderly Granny.",Animation,2012,U,84,not present,not present,movie
1610005824,Saathiya,"Ordinary girls take the not-so-ordinary path, when they realise how much we are conditioned by societal norms.",Drama,2018,U/A 13+,11,not present,not present,movie
1000083673,Shock,"A knock on the door, one night, changes a girl's life. While she assumes the stranger has come to kill her, another person walks in posing as a cop.",Horror,2010,U/A 16+,86,not present,not present,movie
1000237075,Mon Majhi Re,A young animator gets visuals from her past lives. But no one believes that her 'mere imaginations' hold clues to a bigger conspiracy. What happens when history repeats itself?,Thriller,2015,U/A 13+,138,not present,not present,movie
1000061023,Jayammana Maga,"Jayamma is a religious lady. Her atheist son gets into trouble when some tantriks, who practise black magic and human sacrifice, target the girl he loves.",Thriller,2013,U/A 16+,134,not present,not present,movie
1260068264,Annabelle Rathore,"A scary journey begins when a small-time thief, Rudra, enters a haunted castle and gets pulled into the mystery of its mistress - Annabelle Rathore.",Horror,2021,U,134,not present,not present,movie
1000071063,Mundasupatti,Mundaspatti is a village where cameras are banned due to a superstition. Things change when a photographer visits and falls for the village head's daughter.,Comedy,2014,U/A 7+,139,not present,not present,movie
1770000948,Avatar,"Former Marine Jake Sully is deployed as an Avatar on a mission to Pandora but, he ultimately finds himself torn between two worlds.",Science Fiction,2009,U/A 13+,161,not present,not present,movie
1260018294,Guardians Of The Galaxy,A stranded jet pilot in space must unite a diverse team of aliens to form a squad capable of defeating cosmic threats.,Superhero,2014,U/A 13+,120,not present,not present,movie
1000222464,Theeran,"An honest cop named Theeran pays a heavy price for investigating the case of criminals, who shamelessly commit a crime and escape punishment.",Action,2017,U/A 16+,141,not present,not present,movie
1770003001,The Peanuts Movie,Charlie is smitten with the new girl in the neighbourhood and tries unsuccessfully to impress her with little help from his best friend and dog Snoopy.,Comedy,2015,U,84,not present,not present,movie
1000071046,Chattakkari,"Julie, an Anglo-Indian, is in love with Sasi, a Hindu. Her life takes a drastic turn as religious beliefs clash, and he abandons her after getting her pregnant.",Romance,1974,U/A 13+,128,not present,not present,movie
1000096349,Velugu Needalu,"Being an adopted daughter who gets abandoned by her parents, Suguna's life gets challenging when her husband dies in an accident and her lover returns.",Drama,1961,U/A 13+,179,not present,not present,movie
1000154882,Lottery Ticket,"Venu buys a lottery ticket and wins the jackpot. However, he realises that his ticket is fake. How will he resolve this problem?",Thriller,1970,U/A 13+,129,not present,not present,movie
1000236313,Sanjeevani: Adventure on the edge,"A group of mountaineers set out to find the mythical plant, Sanjeevani. On their way, they see a host of strange creatures but no escape.",Adventure,2018,U/A 13+,82,not present,not present,movie
1000069348,Out of Syllabus,"Namitha helps and supports Gopi when he gets bullied in college. Later, he meets his old friend Gayathri. Whom will he be loyal to now, Gayathri or Namitha?",Romance,2006,U,114,not present,not present,movie
1260080202,The Ice Age Adventures of Buck Wild,"The hilarious escapades of everyone’s favourite prehistoric mammals Crash and Eddie continue, as they join pal Buck Wild to take on dinosaurs of the Lost World.",Family,2022,U,81,not present,not present,movie
1000228336,Adanga Maru,A righteous cop's career and personal life turn catastrophic after he locks horns with a few influential people. But he's had enough and decides to fight back.,Action,2018,U/A 16+,144,not present,not present,movie
1000058050,Dolly Ki Doli,"Dolly has a lucrative con career - woo unsuspecting men, trap them into marriage and finally rob them off. All is well until a cop decides to spoil the party.",Comedy,2015,U/A 13+,93,not present,not present,movie
1000071767,Vikram,"An honest cop, Vikram, crosses path with a corrupt Shankar, who tries to molest his girlfriend. What follows is Vikram's fight with Shankar who wants revenge.",Drama,2005,U/A 13+,136,not present,not present,movie
1000223200,Vivegam,"When an honest counter-terrorist agent is suspected to have gone rogue, he embarks upon a revenge mission against the traitors, who once were his friends.",Action,2017,U/A 16+,131,not present,not present,movie
